Q^2 E θº dσ/dΩ %error
# cross sections from JLab Super Rosenbluth experiment (Qattan et al. 2005)

2.64 1.912 111.511 0.1646e-1 0.1034e-3
2.64 2.262 71.482 0.4804e-1 0.3311e-3
2.64 2.842 47.440 0.1402e+0 0.9028e-3
2.64 3.772 31.566 0.4090e+0 0.2563e-2
2.64 4.702 23.822 0.8395e+0 0.5147e-2

3.20 2.262 105.696 0.7778e-02 0.5215e-04
3.20 2.842 59.686 0.3329e-01 0.2155e-03
3.20 3.772 37.368 0.1175e+00 0.7297e-03
3.20 4.702 27.570 0.2646e+00 0.1596e-02

4.10 2.842 95.607 0.3015e-2 0.2095e-4
4.10 3.772 48.885 0.1857e-1 0.1145e-3
4.10 4.702 34.229 0.5003e-1 0.3183e-3
