Q^2 E θº dσ/dΩ %error
# cross sections from JLab Super Rosenbluth experiment (Qattan et al. 2005)
# radiative corrections applied from Blunden and Melnitchouk 2017

2.64 1.912 111.511 1.7072e-02 1.0725e-04
2.64 2.262 71.482 4.8864e-02 3.3678e-04
2.64 2.842 47.440 1.4112e-01 9.0870e-04
2.64 3.772 31.566 4.0961e-01 2.5668e-03
2.64 4.702 23.822 8.3945e-01 5.1467e-03

3.20 2.262 105.696 7.9285e-03 5.3159e-05
3.20 2.842 59.686 3.3671e-02 2.1796e-04
3.20 3.772 37.368 1.1777e-01 7.3137e-04
3.20 4.702 27.570 2.6467e-01 1.5964e-03

4.10 2.842 95.607 3.1167e-03 2.1657e-05
4.10 3.772 48.885 1.8672e-02 1.1513e-04
4.10 4.702 34.229 5.0035e-02 3.1833e-04
