Q^2 E θº dσ/dΩ %error
# cross section data from Andivahis et al. 1994
# both 8 and normalized 1.6 GeV spectrometer (unnormalized multiplied by 0.958)

1.75 1.511 90.066 1.44e-1 1.75e-3

# ---------1.6 GeV----------------
1.75 1.511 90.066 1.450e-1 1.619e-3
# ----------

1.75 2.407 41.110 1.029e0 1.090e-2
1.75 5.507 15.145 1.155e1 1.336e-1
2.50 1.968 89.947 3.389e-2 4.832e-4

# ---------1.6 GeV----------------
2.50 1.968 89.947 3.396e-2 3.874e-4
# ---------

2.50 2.407 58.882 9.857e-2 1.317e-3
2.50 2.837 44.993 1.99e-1 2.638e-3
2.50 3.400 34.694 3.951e-1 4.266e-3
2.50 3.95 28.409 6.616e-1 7.637e-3
2.50 5.507 18.981 1.779e0 2.120e-2

# ---------1.6 GeV----------------
3.25 2.407 90.004 1.049e-2 1.358e-4
# ---------

3.25 2.837 61.205 2.848e-2 4.444e-4
3.25 3.400 44.482 6.784e-2 8.885e-4
3.25 3.956 35.382 1.256e-1 1.636e-3
3.25 5.507 22.804 3.898e-1 4.343e-3

# ---------1.6 GeV----------------
4.0 2.837 89.966 3.920e-3 5.399e-5
# ---------

4.0 3.400 57.572 1.297e-2 2.243e-4
4.0 3.956 43.707 2.770e-2 4.407e-4
4.0 4.507 35.592 4.929e-2 7.853e-4
4.0 5.507 26.823 1.023e-1 1.370e-3
4.0 9.8 13.248 6.180e-1 8.073e-3

# ---------1.6 GeV----------------
5.0 3.40 89.985 1.283e-3 1.860e-5
# ---------

5.0 3.956 59.291 4.205e-3 9.565e-5
5.0 4.507 45.658 8.462e-3 1.492e-4
5.0 5.507 32.829 2.128e-2 3.079e-4
5.0 9.8 15.367 1.576e-1 2.338e-3

# ---------1.6 GeV----------------
6.0 3.956 89.981 4.947e-4 8.380e-6
# ---------

6.0 9.8 17.515 4.749e-2 7.705e-4

# ---------1.6 GeV----------------
7.0 4.507 89.991 2.154e-4 5.437e-6
# ---------

7.0 9.8 19.753 1.707e-2 4.249e-4

# ---------1.6 GeV----------------
8.83 5.507 90.016 5.769e-5 2.337e-6
# ---------
