Q^2 E θº dσ/dΩ %error
# cross section data from Andivahis et al. 1994
# both 8 and unnormalized 1.6 GeV spectrometer
# cross sections include radiative corrections from Blunden and Melnitchouk 2017 (for Q^2 <= 5.0)

1.75 1.511 90.066 1.473e-1 1.790e-3

# ---------1.6 GeV----------------
1.75 1.511 90.066 1.548e-1 1.728e-3
# ----------

1.75 2.407 41.110 1.035e0 1.096e-2
1.75 5.507 15.145 1.155e1 1.336e-1
2.50 1.968 89.947 3.476e-2 4.956e-4

# ---------1.6 GeV----------------
2.50 1.968 89.947 3.634e-2 4.146e-4
# ---------

2.50 2.407 58.882 9.968e-2 1.332e-3
2.50 2.837 44.993 2.002e-1 2.654e-3
2.50 3.400 34.694 3.961e-1 4.277e-3
2.50 3.95 28.409 6.623e-1 7.645e-3
2.50 5.507 18.981 1.778e0 2.119e-2


# ---------1.6 GeV----------------
3.25 2.407 90.004 1.125e-2 1.457e-4
# ---------

3.25 2.837 61.205 2.887e-2 4.504e-4
3.25 3.400 44.482 6.818e-2 4.526e-4
3.25 3.956 35.382 1.258e-1 1.639e-3
3.25 5.507 22.804 3.898e-1 4.342e-3

# ---------1.6 GeV----------------
4.0 2.837 89.966 4.210e-3 5.798e-5
# ---------

4.0 3.400 57.572 1.312e-2 2.269e-4
4.0 3.956 43.707 2.789e-2 4.438e-4
4.0 4.507 35.592 4.945e-2 7.879e-4
4.0 5.507 26.823 1.021e-1 1.368e-3
4.0 9.8 13.248 6.162e-1 8.050e-3

# ---------1.6 GeV----------------
5.0 3.40 89.985 1.379e-3 2.000e-5
# ---------

5.0 3.956 59.291 4.249e-3 9.664e-5
5.0 4.507 45.658 8.490e-3 1.497e-4
5.0 5.507 32.829 2.125e-2 3.075e-4
5.0 9.8 15.367 1.570e-1 2.328e-3

# ---------1.6 GeV----------------
6.0 3.956 89.981 5.164e-4 8.747e-6
# ---------

6.0 9.8 17.515 4.749e-2 7.705e-4

# ---------1.6 GeV----------------
7.0 4.507 89.991 2.248e-4 5.675e-6
# ---------

7.0 9.8 19.753 1.707e-2 4.249e-4

# ---------1.6 GeV----------------
8.83 5.507 90.016 6.022e-5 2.439e-6
# ---------
